person_id,person_name,start_date,end_date,ptm_id,party_id,term_id,id,party,party_subtitle,party_role,organisation_name,organisation_subtitle,organisation_role,area
701,SAMUEL IFEANYI ONUIGBO,1999-05-29,2003-05-29,4,6268,1999,6269,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Umuahia North/ Umuahia South/ Ikwuano
701,SAMUEL IFEANYI ONUIGBO,2003-05-29,2007-05-29,5,6268,2003,6269,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Umuahia North/ Umuahia South/ Ikwuano
701,SAMUEL IFEANYI ONUIGBO,2007-05-29,2011-05-29,6,6268,2007,6269,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Umuahia North/ Umuahia South/ Ikwuano
701,SAMUEL IFEANYI ONUIGBO,2011-05-29,2015-05-29,7,6268,2011,6269,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Umuahia North/ Umuahia South/ Ikwuano
281,LAWAN SHEHU,2011-05-29,2013-07-30,0,2811,2011,3383,All Nigeria Peoples Party,"",Member,House of Representatives,"",Federal Representative,Bichi
281,LAWAN SHEHU,2013-07-31,2015-05-29,0,5666,2011,3383,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Bichi
203,HALIMA HASSAN TUKUR,2011-05-29,2015-05-29,0,2983,2011,3324,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Ngaski/Shanga/Yauri
164,EMMANUEL ISSAC UKOETE,2011-05-29,2015-05-29,0,2966,2011,3297,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Ukanafun/Oruk Anam
224,IBRAHIM KAAMUNA KHADI,2011-05-29,2015-05-29,0,2990,2011,3340,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Jere
227,IBRAHIM NUHU KAYARDA LAWAL,2007-05-29,2011-05-29,0,2993,2007,3343,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Lere
227,IBRAHIM NUHU KAYARDA LAWAL,2011-05-29,2015-05-29,1,2993,2011,3343,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Lere
792,SHEHU USMAN ALIYU,1979-05-29,1983-05-29,0,6489,1979,6490,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Karaye/Rogo
792,SHEHU USMAN ALIYU,1983-05-29,1992-05-29,1,6489,1983,6490,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Karaye/Rogo
792,SHEHU USMAN ALIYU,1992-05-29,1998-05-29,2,6489,1992,6490,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Karaye/Rogo
792,SHEHU USMAN ALIYU,1998-05-29,1999-05-29,3,6489,1998,6490,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Karaye/Rogo
792,SHEHU USMAN ALIYU,1999-05-29,2003-05-29,4,6489,1999,6490,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Karaye/Rogo
792,SHEHU USMAN ALIYU,2003-05-29,2007-05-29,5,6489,2003,6490,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Karaye/Rogo
792,SHEHU USMAN ALIYU,2007-05-29,2011-05-29,6,6489,2007,6490,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Karaye/Rogo
792,SHEHU USMAN ALIYU,2011-05-29,2015-05-29,7,6489,2011,6490,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Karaye/Rogo
871,ABUBAKAR HUSAINI MORIKI,1979-05-29,1983-05-29,0,6702,1979,6703,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Shinkafi/Zurmi
871,ABUBAKAR HUSAINI MORIKI,1983-05-29,1992-05-29,1,6702,1983,6703,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Shinkafi/Zurmi
871,ABUBAKAR HUSAINI MORIKI,1992-05-29,1998-05-29,2,6702,1992,6703,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Shinkafi/Zurmi
871,ABUBAKAR HUSAINI MORIKI,1998-05-29,1999-05-29,3,6702,1998,6703,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Shinkafi/Zurmi
