person_id,person_name,subtitle,role,organisation_name,organisation_kind,area,start_date,end_date
265,KHADIJA BUKAR IBRAHIM,"",Minister,,,Nigeria,"",
429,ESUENE HELEN UDOAKAHA,"",Minister,Federal Ministry of Environment,Political Institution,Abuja,2006,2007
429,ESUENE HELEN UDOAKAHA,"",Minister,Federal Ministry of Environment and Housing,Political Institution,Abuja,2007,2007
145,CHUKWUMERIJE UCHE,"",Minister,Ministry of Information,Political Institution,Abuja,1992,1993
441,USMAN NENADI ESTHER,"",Minister,Federal Ministry of Finance,Political Institution,,2006,2007
429,ESUENE HELEN UDOAKAHA,"",Minister of State,Federal Ministry of Health,Political Institution,Abuja,2005,2005
441,USMAN NENADI ESTHER,"",Minister of State,Federal Ministry of Finance,Political Institution,,2003,2006
